ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,IPTarget,rtt1,rtt2,rtt3,avg_rtt
8452,fiber,EG,,156.222.62.72,TE Data,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561311882891+0000)/,1.1.1.1,8,8,8,8
24863,Unknown,EG,,78.129.233.100,Link Egypt,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561311883122+0000)/,1.1.1.1,53,53,53,53
8452,adsl,EG,,197.58.175.29,TE Data,cbe174ea-e115-4e83-b52f-602a77c90382,/Date(1561311883279+0000)/,1.1.1.1,26,26,26,26
37069,WIFI,EG,197.163.50.2,105.194.174.202,The Egyptian Company for Mobile Services (Mobinil),8e143351-09d2-4c64-9f57-336f16d08813,/Date(1561311884475+0000)/,1.1.1.1,38,52,54,48
36992,WIFI,EG,41.65.36.0,41.65.36.166,Etisalat Misr,e6f0ffc8-2b9b-4f8f-93d1-687213fd342b,/Date(1561311886688+0000)/,1.1.1.1,15,36,17,22
8452,Unknown,EG,,196.218.127.141,TE Data,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561311887939+0000)/,1.1.1.1,24,24,24,24
36992,WIFI,EG,62.140.102.102,154.237.79.16,Etisalat Misr,33b0a652-d974-4b49-acd3-719ec5fc2ae5,/Date(1561311890333+0000)/,1.1.1.1,69,119,116,101
36992,WIFI,EG,62.140.102.102,154.237.43.35,Etisalat Misr,3786bbad-63b8-4b63-97c4-1641ddf34ced,/Date(1561311893463+0000)/,1.1.1.1,25,39,37,33
36992,WIFI,EG,62.140.79.242,154.238.220.226,Etisalat Misr,8ce26433-7e3f-4aa1-9ba7-9111ee5838b9,/Date(1561311903779+0000)/,1.1.1.1,50,30,31,37
8452,WIFI,EG,163.121.128.206,156.221.81.178,TE Data,5f7a0c6b-16f8-4ad4-abf5-e6d03be3a15d,/Date(1561311884336+0000)/,8.8.8.8,60,521,57,212
24863,WIFI,EG,41.128.84.2,41.232.201.211,Link Egypt,f258173b-9e02-4d8c-aa36-9e307040f032,/Date(1561311887426+0000)/,8.8.8.8,379,219,87,228
