ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,IPTarget,rtt1,rtt2,rtt3,avg_rtt
24863,Unknown,EG,,78.129.233.100,Link Egypt,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561366402650+0000)/,1.1.1.1,56,56,54,55
8452,adsl,EG,,197.58.175.29,TE Data,cbe174ea-e115-4e83-b52f-602a77c90382,/Date(1561366402782+0000)/,1.1.1.1,26,26,26,26
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561366403575+0000)/,1.1.1.1,38,47,50,45
8452,Wireless80211,EG,156.200.40.42,197.48.101.8,TE Data,6785eb8e-b40d-427b-b1ac-b651ab7f34b0,/Date(1561366407900+0000)/,1.1.1.1,30,28,28,28
8452,WIFI,EG,156.200.40.42,156.212.191.175,TE Data,5fcec0e0-8343-4130-8884-60971ef7d85a,/Date(1561366409327+0000)/,1.1.1.1,46,132,55,77
8452,Ethernet,EG,163.121.128.206,156.203.227.248,TE Data,59e65403-8a38-47ad-a254-75c9caa41e1e,/Date(1561366418722+0000)/,1.1.1.1,91,164,324,193
8452,WIFI,EG,156.200.40.42,156.201.108.199,TE Data,b129d587-14c4-468d-a36b-5cd391adc850,/Date(1561366421878+0000)/,1.1.1.1,30,29,68,42
8452,WIFI,EG,162.158.129.95,41.45.100.253,TE Data,6c5ce33a-f874-409c-a7d7-7714ee978fbd,/Date(1561366423736+0000)/,1.1.1.1,28,28,28,28
36992,WIFI,EG,62.140.79.242,154.238.175.253,Etisalat Misr,b8f73e64-6d33-40ba-bda1-81b82382f8c9,/Date(1561366430911+0000)/,1.1.1.1,79,214,194,162
8452,WIFI,EG,163.121.128.214,41.46.228.159,TE Data,20d918c2-c5da-469b-ad1a-22cd27e48b18,/Date(1561366404355+0000)/,8.8.8.8,69,65,66,66
24835,WIFI,EG,62.240.113.124,196.221.183.157,Vodafone Egypt,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561366404355+0000)/,8.8.8.8,74,73,82,76
8452,Ethernet,EG,163.121.128.206,156.203.227.248,TE Data,59e65403-8a38-47ad-a254-75c9caa41e1e,/Date(1561366406029+0000)/,8.8.8.8,275,114,385,258
8452,WIFI,EG,163.121.128.206,41.46.28.11,TE Data,f5a4aad7-2ea8-4706-b815-a7a46230f7fa,/Date(1561366409890+0000)/,8.8.8.8,61,70,69,66
8452,Wireless80211,EG,156.200.40.42,197.48.101.8,TE Data,6785eb8e-b40d-427b-b1ac-b651ab7f34b0,/Date(1561366414199+0000)/,8.8.8.8,84,84,85,84
8452,WIFI,EG,162.158.129.95,41.45.100.253,TE Data,6c5ce33a-f874-409c-a7d7-7714ee978fbd,/Date(1561366421164+0000)/,8.8.8.8,62,67,65,64
8452,WIFI,EG,156.200.40.42,156.199.129.57,TE Data,7521aba6-a9ff-4c84-a293-6e92411c83f3,/Date(1561366430425+0000)/,8.8.8.8,80,69,68,72
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561366430545+0000)/,8.8.8.8,75,71,89,78
