ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,1,10.37.75.2,10.37.75.2,20,19,20
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,2,10.37.107.137,10.37.107.137,24,23,24
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,3,10.38.27.37,10.38.27.37,21,20,20
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,5,10.36.14.245,10.36.14.245,24,23,23
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,6,host-213.158.191.230.tedata.net,213.158.191.230,25,25,24
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561166215695+0000)/,1.1.1.1,,7,one.one.one.one,1.1.1.1,24,22,23
8452,WIFI,EG,156.200.40.66,41.36.174.225,TE Data,ANDROID,958a3f4c-fade-4436-8e15-5b034cccc0f0,/Date(1561166255502+0000)/,1.1.1.1,one.one.one.one,1,,41.37.96.1,23,30,32
8452,WIFI,EG,156.200.40.66,41.36.174.225,TE Data,ANDROID,958a3f4c-fade-4436-8e15-5b034cccc0f0,/Date(1561166255502+0000)/,1.1.1.1,one.one.one.one,3,,10.36.22.14,26,31,37
8452,WIFI,EG,156.200.40.66,41.36.174.225,TE Data,ANDROID,958a3f4c-fade-4436-8e15-5b034cccc0f0,/Date(1561166255502+0000)/,1.1.1.1,one.one.one.one,8,,213.158.191.230,28,34,37
8452,WIFI,EG,156.200.40.66,41.36.174.225,TE Data,ANDROID,958a3f4c-fade-4436-8e15-5b034cccc0f0,/Date(1561166255502+0000)/,1.1.1.1,one.one.one.one,9,one.one.one.one,1.1.1.1,33,34,34
24835,WIFI,EG,62.240.113.124,102.186.171.56,Vodafone Egypt,ANDROID,b57b4cc7-1c6b-4a04-b943-5ce10697c2e4,/Date(1561166276895+0000)/,1.1.1.1,one.one.one.one,1,,41.69.0.2,28,27,21
24835,WIFI,EG,62.240.113.124,102.186.171.56,Vodafone Egypt,ANDROID,b57b4cc7-1c6b-4a04-b943-5ce10697c2e4,/Date(1561166276895+0000)/,1.1.1.1,one.one.one.one,2,,172.31.248.137,28,28,28
24835,WIFI,EG,62.240.113.124,102.186.171.56,Vodafone Egypt,ANDROID,b57b4cc7-1c6b-4a04-b943-5ce10697c2e4,/Date(1561166276895+0000)/,1.1.1.1,one.one.one.one,3,,172.31.107.93,31,29,28
37069,WIFI,EG,41.128.84.2,154.128.204.223,The Egyptian Company for Mobile Services (Mobinil),ANDROID,be06c156-c753-4df1-a0fc-7e3ac2d673bd,/Date(1561166295041+0000)/,1.1.1.1,one.one.one.one,1,,10.57.244.209,160,84,80
36992,WIFI,EG,62.140.79.246,41.64.171.109,Etisalat Misr,ANDROID,bc0ec9c5-1490-44d2-b835-dea51ace623f,/Date(1561166304699+0000)/,1.1.1.1,one.one.one.one,1,,10.10.12.13,38,43,117
36992,WIFI,EG,62.140.79.246,41.64.171.109,Etisalat Misr,ANDROID,bc0ec9c5-1490-44d2-b835-dea51ace623f,/Date(1561166304699+0000)/,1.1.1.1,one.one.one.one,3,one.one.one.one,1.1.1.1,48,48,44
8452,WIFI,EG,156.200.40.42,41.233.89.X,TE Data,ANDROID,NONE,/Date(1561166342332+0000)/,1.1.1.1,one.one.one.one,1,,41.34.240.1,34,36,36
8452,WIFI,EG,156.200.40.66,197.32.246.X,TE Data,ANDROID,NONE,/Date(1561166359271+0000)/,1.1.1.1,one.one.one.one,1,,10.45.10.37,398,1320,980
8452,WIFI,EG,156.200.40.66,197.32.246.X,TE Data,ANDROID,NONE,/Date(1561166359271+0000)/,1.1.1.1,one.one.one.one,2,,10.36.22.17,22,21,60
8452,WIFI,EG,156.200.40.66,197.32.246.X,TE Data,ANDROID,NONE,/Date(1561166359271+0000)/,1.1.1.1,one.one.one.one,3,,10.36.22.18,42,42,32
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561166365432+0000)/,1.1.1.1,,1,10.45.10.23,10.45.10.23,4,3,4
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561166365432+0000)/,1.1.1.1,,3,10.37.93.42,10.37.93.42,7,7,7
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561166365432+0000)/,1.1.1.1,,4,10.37.87.137,10.37.87.137,7,7,6
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561166365432+0000)/,1.1.1.1,,5,10.37.85.102,10.37.85.102,7,7,8
